language	Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Homepage_URL
Akan Corpus	citing_context	Akan	https://doi.org/10.48550/arXiv.2502.10973 (2025), https://doi.org/10.1016/j.dib.2025.111880 (2025)	https://doi.org/10.18653/v1/P19-1050 (2018)	The Akan dataset is used to assess inter-annotator agreement for emotion recognition, ensuring reliable annotations in the Akan language. It is also utilized to explore linguistic aspects of Akan, particularly in the context of financial inclusion, using an audio dataset. These applications focus on enhancing the reliability and understanding of Akan language data in specific social and emotional contexts.	
Akan Corpus	citing_context	Akan language dataset	https://doi.org/10.48550/arXiv.2502.10973 (2025), https://www.semanticscholar.org/paper/d8e6c45b1504089cdde501164d0bb557ac544dfb (2025)	https://doi.org/10.48550/arXiv.2503.19642 (2025)	The Akan language dataset is used to study cultural variation in emotion perception within a broader set of 15 African languages and to evaluate the performance of a base model in Akan compared to an English model, focusing on model generalization capabilities. This dataset enables researchers to explore linguistic and cultural nuances in emotion perception and machine learning model effectiveness across languages.	
Akan Corpus	citing_context	Akan UGSpeechData	https://www.semanticscholar.org/paper/d8e6c45b1504089cdde501164d0bb557ac544dfb (2025)		The Akan UGSpeechData dataset is used to train an Akan base model for standard speech recognition, utilizing 100 hours of transcribed Akan speech comprising 18,787 samples. This dataset enables researchers to develop and refine speech recognition systems specifically tailored for the Akan language, enhancing accuracy and performance in Akan speech processing applications.	
Akan Corpus	citing_context	EmoryNLP	https://doi.org/10.48550/arXiv.2502.10973 (2025)	https://www.semanticscholar.org/paper/ba4c923b43360325cba984549aa3c3224863d1f6 (2018)	The EmoryNLP dataset is used for Akan language research, specifically in dialogue modeling and emotion detection. It focuses on daily conversation scenarios to understand natural language interactions and analyzes emotional expressions in multi-party and text-based conversations. This dataset enables researchers to develop models that can accurately capture and interpret the nuances of Akan language dialogues and emotions.	
Akan Corpus	cited_context	JW300	https://www.semanticscholar.org/paper/4e96e6d2abc54bc55d5489a9e5a666f273b69410 (2019)	https://doi.org/10.18653/v1/P19-1310 (2019)	The JW300 dataset is primarily used to enhance and expand vocabulary in low-resource languages, particularly in the Akan language, by increasing token counts to over 10,000. It serves as a parallel corpus for training and evaluating machine translation and language modeling tasks. Researchers use it to compare the quality and dialect mix between Twi and Yoruba corpora, and to study the Akuampem dialect of Akan. The dataset provides clean, wide-coverage data, crucial for improving translation quality and addressing low-resource language challenges.	
Akan Corpus	cited_context	Twi Bible	https://www.semanticscholar.org/paper/4e96e6d2abc54bc55d5489a9e5a666f273b69410 (2019)	https://doi.org/10.1023/A:1001798929185 (1999)	The Twi Bible dataset is used as a base text for linguistic studies in the Akan language, particularly in low-resourced and endangered language contexts. Researchers leverage its widespread availability to conduct linguistic analyses, focusing on the preservation and documentation of the Akan language. The dataset's extensive use in these contexts enables detailed linguistic research and supports efforts to maintain linguistic diversity.	
Akan Corpus	citing_context	wage Data from Akan	https://www.semanticscholar.org/paper/e3b567a6f6121fc1e9325d570ac10159ef3bd06b (2025)		The 'wage Data from Akan' dataset is used to develop and evaluate Akan speech models, particularly for financial applications. It focuses on enhancing language resources and improving speech recognition systems by incorporating specific financial vocabulary and context. The dataset addresses the impact of recording conditions, dialect variations, and acoustic environments on model performance, thereby improving the robustness and accuracy of Akan speech models in real-world scenarios.	
Akan Corpus	cited_context	wordsim-353	https://www.semanticscholar.org/paper/4e96e6d2abc54bc55d5489a9e5a666f273b69410 (2019)	https://doi.org/10.1109/ICDARW.2019.40090 (2019)	The wordsim-353 dataset is used to evaluate word similarity in African languages, specifically Yoruba and Twi, by translating and adapting the original English dataset. Researchers employ this adapted dataset to assess the performance of computational models in capturing semantic similarities between words in these languages. This enables the development and refinement of natural language processing tools tailored for African linguistic contexts.	
Bulgarian Corpus	cited_context | citing_context	400 movie reviews (200 positive + 200 negative)	https://www.semanticscholar.org/paper/dfb479d4421930ee24bffe2f048ddcd2d46c14a5 (2015)	https://doi.org/10.1007/978-3-319-09879-1_28 (2014)	The 400 movie reviews dataset (200 positive + 200 negative) is used for sentiment analysis experiments, particularly to evaluate the performance of a Naïve Bayes classifier. Researchers employ a small manually annotated sentiment lexicon and various preprocessing techniques to enhance classification accuracy. This dataset enables the testing and validation of sentiment analysis models, focusing on the effectiveness of the classifier and preprocessing methods in distinguishing between positive and negative sentiments.; The 400 movie reviews dataset (200 positive + 200 negative) is used for sentiment analysis research, particularly to evaluate the performance of a Naïve Bayes classifier. This involves using a manually annotated sentiment lexicon and various preprocessing techniques. The dataset enables researchers to test and refine sentiment classification models, focusing on the accuracy and effectiveness of these methods in distinguishing between positive and negative sentiments in text.	
Bulgarian Corpus	cited_context	992 Amazon reviews	https://doi.org/10.1007/978-3-319-24069-5_17 (2015)	https://doi.org/10.1145/2507157.2507163 (2013)	The 992 Amazon reviews dataset, translated to Bulgarian using Google Translate, is used to study linguistic characteristics and sentiment analysis in Bulgarian translations. Researchers analyze the translated reviews to understand how sentiment and linguistic features are preserved or altered in the translation process. This dataset enables the exploration of cross-lingual sentiment analysis and the impact of machine translation on text characteristics.	
Bulgarian Corpus	citing_context	ARC-Challenge	https://doi.org/10.48550/arXiv.2407.08699 (2024)	https://www.semanticscholar.org/paper/88bb0a28bb58d847183ec505dda89b63771bb495 (2018)	The ARC-Challenge dataset is used to evaluate question answering systems on complex, challenging problems, specifically focusing on the Bulgarian language subset. Researchers employ this dataset to assess the performance and capabilities of these systems in handling linguistically intricate questions. This enables the development and refinement of algorithms tailored for advanced natural language processing tasks in Bulgarian.	
